"Nr
okręgu",TERYT,Powiat,Uprawnieni do głosowania,Karty wydane (frekwencja),Karty ważne (głosy oddane),Głosy nieważne,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,Komitet Wyborczy Ruch Patriotyczny,Komitet Wyborczy Polska Partia Pracy,Komitet Wyborczy Liga Polskich Rodzin,Komitet Wyborczy Partia Demokratyczna,Komitet Wyborczy Socjaldemokracja Polska,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Sojusz Lewicy Demokratycznej,Komitet Wyborczy Platforma Obywatelska,Komitet Wyborczy Polska Partia Narodowa,Komitet Wyborczy Polskie Stronnictwo Ludowe,Komitet Wyborczy Centrum,Komitet Wyborczy Platforma Janusza Korwin-Mikke,Komitet Wyborczy Ogólnopolska Koalicja Obywatelska O.K.O.,Komitet Wyborczy Polska Konfederacja - Godność i Praca,Komitet Wyborczy Samoobrona RP,Komitet Wyborczy Inicjatywa RP,Komitet Wyborczy Dom Ojczysty,Komitet Wyborczy Narodowe Odrodzenie Polski,Komitet Wyborczy Stronnictwo Pracy,Komitet Wyborczy Społeczni Ratownicy,Komitet Wyborczy Mniejszość Niemiecka,Komitet Wyborczy Mniejszość Niemiecka Śląska
20,1134900,grodziskilegionowskinowodworskiotwockipiaseczyńskipruszkowskiwarszawski zachodniwołomiński,729323,326106,325654,8379,317275,8330,1624,23276,7547,9445,104532,22761,89120,823,17326,0,6521,707,0,23276,0,1987,0,0,0,0,0
21,1932701,brzeskigłubczyckikędzierzyńsko-kozielskikluczborskikrapkowickinamysłowskinyskioleskiopolskiprudnickistrzeleckim. Opole,830714,278059,277791,10967,266824,3341,1860,18204,7713,7482,54779,27718,64683,741,12778,0,4306,0,0,28244,0,0,506,0,0,34469,0
22,2181602,bieszczadzkibrzozowskijarosławskijasielskikrośnieńskilubaczowskiprzemyskiprzeworskisanockileskim. Krosnom. Przemyśl,689720,283471,283164,9890,273274,2072,1373,37241,2911,6227,92319,25030,42189,631,26121,984,2714,0,0,32339,0,1123,0,0,0,0,0
23,2366502,dębickikolbuszowskileżajskiłańcuckimieleckiniżańskiropczycko-sędziszowskirzeszowskistalowowolskistrzyżowskitarnobrzeskim. Rzeszówm. Tarnobrzeg,942323,416858,416346,13164,403182,3619,1876,52776,3433,8694,154001,29590,65502,1190,41302,0,5370,0,613,31807,541,2868,0,0,0,0,0
24,3429103,augustowskibiałostockibielskigrajewskihajnowskikolneńskiłomżyńskimonieckisejneńskisiemiatyckisokólskisuwalskiwysokomazowieckizambrowskim. Białystokm. Łomżam. Suwałki,946474,363569,362858,17372,345486,8898,4130,39309,4882,13191,98314,42525,52693,1182,28984,0,3929,0,457,41996,1003,3993,0,0,0,0,0
25,2229703,gdańskikwidzyńskimalborskinowodworskistarogardzkitczewskisztumskim. Gdańskm. SopotStatki,814600,358466,357928,9569,348359,2463,2270,19534,7663,13429,89715,31508,138989,863,9493,1262,4998,802,0,23429,0,1941,0,0,0,0,0
26,2668603,bytowskichojnickiczłuchowskikartuskikościerskilęborskipuckisłupskiwejherowskim. Gdyniam. SłupskStatki,891822,382191,381462,12501,368961,2793,2269,28175,6155,10776,98994,41395,120766,1002,10974,1849,5629,1176,0,34645,0,1700,663,0,0,0,0
27,1209301,bielskicieszyńskipszczyńskiżywieckim. Bielsko-Biała,589540,261747,261359,9368,251991,1759,1860,19905,7325,10042,89980,23340,66895,543,8596,0,3984,1140,0,16622,0,0,0,0,0,0,0
28,1209001,częstochowskikłobuckilublinieckimyszkowskim. Częstochowa,492508,190214,190086,6910,183176,1929,1729,11148,3874,8684,50709,19540,45397,689,10450,0,2998,0,475,25141,413,0,0,0,0,0,0
29,1222403,gliwickitarnogórskim. Bytomm. Gliwicem. Zabrze,669000,239597,239214,7674,231540,1912,1990,12373,5651,8240,65835,27070,76680,598,4507,0,3955,0,735,16130,283,0,0,0,0,0,5581
